original address,latitude,longitude
Afghanistan,33.93911,67.709953
Albania,41.153332,20.168331
Algeria,28.033886,1.659626
Argentina,-38.416097,-63.616672
Armenia,40.069099,45.038189
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927
Bangladesh,23.684994,90.356331
Belarus,53.709807,27.953389
Belgium,50.503887,4.469936
Benin,9.30769,2.315834
Bhutan,27.514162,90.433601
Bolivia (Plurinational State of),-16.29,-63.589
Brazil,-14.235004,-51.92528
Bulgaria,42.733883,25.48583
Burkina Faso,12.238333,-1.561593
Cameroon,7.369722,12.354722
Canada,56.130366,-106.346771
Chad,15.454166,18.732207
Chile,-35.675147,-71.542969
China,35.86166,104.195397
"China, Taiwan Province of",22.615802,120.712002
Colombia,4.570868,-74.297333
Congo,-0.228021,15.827659
Costa Rica,9.748917,-83.753428
Côte d'Ivoire,7.539989,-5.54708
Croatia,45.1,15.2
Cuba,21.521757,-77.781167
Cyprus,35.126413,33.429859
Czech Republic,49.817492,15.472962
Democratic People's Republic of Korea,13.732902,100.617639
Denmark,56.26392,9.501785
Ecuador,-1.831239,-78.183406
Egypt,26.820553,30.802498
Eritrea,15.179384,39.782334
Estonia,58.595272,25.013607
Ethiopia,9.145,40.489673
Europe_Eastern_south,50.984872,-1.305332
Finland,61.92411,25.748151
France,46.227638,2.213749
Georgia,32.165622,-82.900075
Germany,51.165691,10.451526
Ghana,7.946527,-1.023194
Gibraltar,36.140751,-5.353585
Greece,39.074208,21.824312
Guatemala,15.783471,-90.230759
Guinea,9.945587,-9.696645
Hungary,47.162494,19.503304
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Iran (Islamic Republic of),38.470354,47.057119
Iraq,33.223191,43.679291
Ireland,53.41291,-8.24389
Israel,31.046051,34.851612
Italy,41.87194,12.56738
Japan,36.204824,138.252924
Jordan,30.585164,36.238414
Kazakhstan,48.019573,66.923684
Kenya,-0.023559,37.906193
Kyrgyzstan,41.20438,74.766098
Latvia,56.879635,24.603189
Lebanon,33.854721,35.862285
Libya,26.3351,17.228331
Lithuania,55.169438,23.881275
Malawi,-13.254308,34.301525
Malta,35.937496,14.375416
Mexico,23.634501,-102.552784
Mongolia,46.862496,103.846656
Montenegro,42.708678,19.37439
Morocco,31.791702,-7.09262
Mozambique,-18.665695,35.529562
Nepal,28.394857,84.124008
Netherlands,52.132633,5.291266
New Zealand,-40.900557,174.885971
Nicaragua,12.865416,-85.207229
Niger,17.607789,8.081666
Nigeria,9.081999,8.675277
Norway,60.472024,8.468946
Occupied Palestinian Territory,31.95,35.23
Oman,21.512583,55.923255
Pakistan,30.375321,69.345116
Peru,-9.189967,-75.015152
Philippines,12.879721,121.774017
Poland,51.919438,19.145136
Portugal,39.399872,-8.224454
Puerto Rico,18.220833,-66.590149
Republic of Korea,38.914658,-77.05468
Republic of Moldova,47.411631,28.369885
Romania,45.943161,24.96676
Russian Federation,61.52401,105.318756
Saudi Arabia,23.885942,45.079162
Serbia,44.016521,21.005859
Slovakia,48.669026,19.699024
Slovenia,46.151241,14.995463
South Africa,-30.559482,22.937506
Spain,40.463667,-3.74922
Sudan (former),34.065642,-102.523336
Sweden,60.128161,18.643501
Switzerland,46.818188,8.227512
Syrian Arab Republic,34.802075,38.996815
Tajikistan,38.861034,71.276093
Thailand,15.870032,100.992541
The former Yugoslav Republic of Macedonia,41.608635,21.745275
Tibet,29.647535,91.117525
Togo,8.619543,0.824782
Tunisia,33.886917,9.537499
Turkey,38.963745,35.243322
Turkmenistan,38.969719,59.556278
Ukraine,48.379433,31.16558
United Kingdom,55.378051,-3.435973
United Republic of Tanzania,-6.369028,34.888822
United States of America,37.09024,-95.712891
Uruguay,-32.522779,-55.765835
Uzbekistan,41.377491,64.585262
Venezuela (Bolivarian Republic of),15.580273,32.548808
Yemen,15.552727,48.516388
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857
Angola,-11.202692,17.873887
Antigua and Barbuda,17.060816,-61.796428
Asia_West,34.047863,100.619655
Bahamas,25.03428,-77.39628
Barbados,13.193887,-59.543198
Belize,17.189877,-88.49765
Bosnia and Herzegovina,43.915886,17.679076
Botswana,-22.328474,24.684866
Burundi,-3.373056,29.918886
Cambodia,12.565679,104.990963
Central African Republic,6.611111,20.939444
"China, Hong Kong SAR",22.288067,114.139797
Democratic Republic of the Congo,-4.038333,21.758664
Dominican Republic,18.735693,-70.162651
El Salvador,13.794185,-88.89653
Fiji,-17.713371,178.065032
French Guiana,3.933889,-53.125782
French Polynesia,-17.679742,-149.406843
Gabon,-0.803689,11.609444
Gambia,13.443182,-15.310139
Greenland,71.706936,-42.604303
Grenada,12.1165,-61.679
Guadeloupe,16.265,-61.551
Guam,13.444304,144.793731
Guyana,4.860416,-58.93018
Haiti,18.971187,-72.285215
Honduras,15.199999,-86.241905
Iceland,64.963051,-19.020835
Jamaica,18.109581,-77.297508
Kuwait,29.31166,47.481766
Lao People's Democratic Republic,19.85627,102.495496
Lesotho,-29.609988,28.233608
Liberia,6.428055,-9.429499
Madagascar,-18.766947,46.869107
Malaysia,4.210484,101.975766
Maldives,1.977247,73.536112
Mali,17.570692,-3.996166
Mauritania,21.00789,-10.940835
Mauritius,-20.348404,57.552152
Montserrat,16.742498,-62.187366
Myanmar,21.916221,95.955974
Namibia,-22.95764,18.49041
Netherlands Antilles,12.20189,-68.262382
New Caledonia,-20.904305,165.618042
Panama,8.537981,-80.782127
Papua New Guinea,-6.314993,143.95555
Paraguay,-23.442503,-58.443832
Reunion,-21.115141,55.536384
Rwanda,-1.940278,29.873888
Saint Kitts and Nevis,17.357822,-62.782998
Samoa,-13.759029,-172.104629
Senegal,14.497401,-14.452362
Seychelles,-4.679574,55.491977
Sierra Leone,8.460555,-11.779889
Singapore,1.352083,103.819836
Solomon Islands,-9.64571,160.156194
Somalia,5.152149,46.199616
Sri Lanka,7.873054,80.771797
Suriname,3.919305,-56.027783
Swaziland,-26.522503,31.465866
Trinidad and Tobago,10.691803,-61.222503
Uganda,1.373333,32.290275
United States Virgin Islands,18.335765,-64.896335
Vanuatu,-15.376706,166.959158
Viet Nam,14.058324,108.277199
Bahrain,26.0667,50.5577
Bermuda,32.3078,-64.7505
British Indian Ocean Territory,-7.334623,72.424251
British Virgin Islands,18.420695,-64.639968
Brunei Darussalam,4.535277,114.727669
Cape Verde,15.120142,-23.605172
"China, mainland",22.527215,113.918005
Comoros,-11.6455,43.3333
Cook Islands,-21.236736,-159.777671
Equatorial Guinea,1.650801,10.267895
Falkland Islands (Malvinas),-51.796253,-59.523613
Guinea-Bissau,11.803749,-15.180413
Kosovo,42.602636,20.902977
Martinique,14.641528,-61.024174
Niue,-19.054445,-169.867233
Saint Lucia,13.909444,-60.978893
Saint Vincent and the Grenadines,13.252818,-61.197163
San Marino,43.94236,12.457777
Tonga,-21.178986,-175.198242
Africa_East,-8.783195,34.508523
Africa_Southern,-15.420119,35.038816
America_North,44.466994,-73.17096
Asia_Central,22.279991,114.158798
Asia_East,34.047863,100.619655
Asia_South,34.047863,100.619655
Europe_Eastern_north,50.984872,-1.305332
Europe_Western_north,53.408191,-2.978761
Europe_Western_south,50.941255,-2.625372
Luxembourg,49.815273,6.129583
Mediterranean_SouthandEast,30.88,25.21
Northern Mariana Islands,15.0979,145.6739
Pacific_Region_ausnz,28.53,158.71
Sao Tome and Principe,0.18636,6.613081
Andorra,42.506285,1.521801
Cabo Verde,15.120142,-23.605172
United Arab Emirates,23.424076,53.847818
Africa_Central,2.318462,19.56871
Africa_West,-8.783195,34.508523
America_Caribbean,21.469114,-78.656894
America_Central_and_Mexico,39.165044,-91.880331
American Samoa,-14.30602,-170.696181
Anguilla,18.220554,-63.068615
Asia_Southeast,34.047863,100.619655
Cayman Islands,19.3133,-81.2546
Dominica,15.414999,-61.370976
Faroe Islands,61.892635,-6.911806
Micronesia,6.887481,158.215072
Monaco,43.738418,7.424616
Palau,7.51498,134.58252
South Georgia and Sandwich Islands,54.43,-36.59
Turks and Caicos Islands,21.694025,-71.797928
United States Outlying Islands,39.955313,-74.232029
CGIAR,43.61,3.88
Timor-Leste,-8.874217,125.727539
Djibouti,11.825138,42.590275
Bonaire,12.178361,-68.238534
Mayotte,-12.8275,45.166244
Marshall Islands,6.068302,171.989379
Curazao,12.16957,-68.99002
Qatar,25.354826,51.183884
